date,ticker,action,shares,price,notional,cost
2019-03-27,FTNT,BUY,72,16.365999221801758,1178.3519439697266,0.0
2019-03-28,FTNT,SELL,72,16.469999313354492,1185.8399505615234,0.0
2019-03-28,GE,BUY,25,47.73186111450195,1193.2965278625488,0.0
2019-03-28,POET,BUY,22,2.5,55.0,0.0
2019-03-29,WFC,BUY,30,39.739173889160156,1192.1752166748047,0.0
2019-03-29,TSLA,SELL,64,18.657333374023438,1194.0693359375,0.0
2019-03-29,ENPH,SELL,4,9.229999542236328,36.91999816894531,0.0
2019-03-29,GE,SELL,1,48.21448516845703,48.21448516845703,0.0
2019-04-01,WFC,SELL,30,40.14215850830078,1204.2647552490234,0.0
2019-04-01,PLUG,BUY,17,2.3499999046325684,39.94999837875366,0.0
2019-04-01,TSLA,BUY,62,19.278667449951172,1195.2773818969727,0.0
2019-04-02,POET,SELL,21,2.700000047683716,56.70000100135803,0.0
2019-04-02,TSLA,SELL,62,19.058666229248047,1181.637306213379,0.0
2019-04-02,COP,BUY,24,51.56292724609375,1237.51025390625,0.0
2019-04-02,GE,BUY,1,49.42105484008789,49.42105484008789,0.0
2019-04-03,COP,SELL,24,50.91012954711914,1221.8431091308594,0.0
2019-04-03,ENPH,SELL,3,9.6899995803833,29.069998741149902,0.0
2019-04-03,PLUG,SELL,11,2.450000047683716,26.950000524520874,0.0
2019-04-03,POET,BUY,15,2.5999999046325684,38.999998569488525,0.0
2019-04-03,TSLA,BUY,63,19.45400047302246,1225.602029800415,0.0
2019-04-04,TSLA,BUY,5,17.851999282836914,89.25999641418457,0.0
2019-04-04,POET,SELL,20,2.700000047683716,54.000000953674316,0.0
2019-04-04,PLUG,SELL,22,2.549999952316284,56.09999895095825,0.0
2019-04-05,GE,SELL,25,48.31100845336914,1207.7752113342285,0.0
2019-04-05,PLUG,SELL,10,2.630000114440918,26.30000114440918,0.0
2019-04-05,POET,BUY,22,2.5999999046325684,57.199997901916504,0.0
2019-04-05,SBUX,BUY,19,64.02055358886719,1216.3905181884766,0.0
2019-04-08,ENPH,SELL,4,10.239999771118164,40.959999084472656,0.0
2019-04-08,PLUG,SELL,16,2.7699999809265137,44.31999969482422,0.0
2019-04-08,SBUX,SELL,19,64.16561126708984,1219.146614074707,0.0
2019-04-08,GE,BUY,27,45.80134963989258,1236.6364402770996,0.0
2019-04-09,GE,SELL,27,44.49825668334961,1201.4529304504395,0.0
2019-04-09,META,BUY,6,176.19729614257812,1057.1837768554688,0.0
2019-04-09,PLUG,BUY,17,2.5899999141693115,44.029998540878296,0.0
2019-04-09,POET,BUY,13,2.5,32.5,0.0
2019-04-10,META,SELL,6,176.43544006347656,1058.6126403808594,0.0
2019-04-10,QCOM,BUY,25,47.80422592163086,1195.1056480407715,0.0
2019-04-11,QCOM,SELL,25,47.439308166503906,1185.9827041625977,0.0
2019-04-11,PLUG,SELL,15,2.6700000762939453,40.05000114440918,0.0
2019-04-11,UNH,BUY,5,209.10748291015625,1045.5374145507812,0.0
2019-04-15,POET,BUY,21,2.299999952316284,48.29999899864197,0.0
2019-04-15,FTNT,BUY,61,19.04400062561035,1161.6840381622314,0.0
2019-04-15,PLUG,BUY,10,2.509999990463257,25.09999990463257,0.0
2019-04-15,UNH,SELL,5,204.47088623046875,1022.3544311523438,0.0
2019-04-15,TSLA,SELL,3,17.7586669921875,53.2760009765625,0.0
2019-04-16,FTNT,SELL,61,18.809999465942383,1147.4099674224854,0.0
2019-04-16,POET,SELL,28,2.5,70.0,0.0
2019-04-16,UNH,BUY,6,196.2636260986328,1177.5817565917969,0.0
2019-04-17,UNH,SELL,6,192.60409545898438,1155.6245727539062,0.0
2019-04-17,MRK,BUY,20,56.74732208251953,1134.9464416503906,0.0
2019-04-17,POET,BUY,13,2.4000000953674316,31.20000123977661,0.0
2019-04-18,ENPH,SELL,123,9.449999809265137,1162.3499765396118,0.0
2019-04-18,MRK,SELL,20,56.18690490722656,1123.7380981445312,0.0
2019-04-18,GE,BUY,26,45.125667572021484,1173.2673568725586,0.0
2019-04-18,SLB,BUY,30,37.64530944824219,1129.3592834472656,0.0
2019-04-22,TSLA,BUY,2,17.516666412353516,35.03333282470703,0.0
2019-04-22,ENPH,BUY,126,9.279999732971191,1169.2799663543701,0.0
2019-04-22,ON,BUY,52,22.459999084472656,1167.9199523925781,0.0
2019-04-22,POET,SELL,24,2.5,60.0,0.0
2019-04-22,GE,SELL,26,44.98088836669922,1169.5030975341797,0.0
